VH,VV,date,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDVI,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP
-26.197330026935745,-17.365410553771845,2024-05-04,409.0,1045.7179793500006,5830.607773739491,5033.381018374771,1363.778474575905,2107.2298759200808,2965.8529683342226,3439.9510372392024,3677.74780994571,3935.0405354976065,3934.267886347478,4350.832413501436,4297.314730206403,0.0,0.0,0.0,0.0,0.0,0.1501846314022171,0.0,4.995889337973539,138.9679804602709,212.35825112368815,243.16795637693784,3464.564742229032
,,2024-05-24,275.0,1186.4075931525674,5925.740030699273,5129.86653595516,1464.4391165604127,2192.218841997728,3064.3239873167904,3544.0696382640267,3772.450578222039,4012.160124725777,3982.29708224966,4368.491567978504,4353.80112496319,0.0,0.0,0.0,0.0,0.0,0.13609434638990026,0.0,4.999741148582109,149.2295258362266,219.96912828866613,247.4109140639941,3318.1208973160487
,,2024-05-24,275.16640212643864,1183.2724256370004,5928.807327880625,5130.487569612312,1464.97438284556,2195.581993407154,3068.3264460245955,3547.431295440953,3775.6911585364724,4015.644175608354,3985.8650808041493,4376.17608329635,4358.198411261358,0.0,0.0,0.0,0.0,0.0,0.13596709039375243,0.0,4.999741148582109,149.34268717463556,220.17269196211777,247.7185134213825,3318.107388824899
-25.933646762598443,-15.612741807794885,2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,
-24.120366680993293,-14.539600445022144,2024-06-09,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024-06-13,333.0,1077.3015404577793,5989.907424835704,5185.870298817322,1346.3653498700482,2160.924227591808,2970.7115895266193,3555.3327977815998,3953.8509537342416,4211.268287947842,4115.880311672336,4617.209199655529,4513.399920745786,0.0,0.0,0.0,0.0,0.0,0.181677351011532,0.0,4.985277191167735,137.4387392608757,208.98852235048756,230.68336254082476,4687.798156419597
-23.251278544156186,-15.25913434826746,2024-06-21,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024-06-23,415.0,1051.781873904084,5630.31492269542,4777.316199315078,1328.4746101653232,2101.366732948701,2798.3413398783864,3345.0114678791397,3838.5708266331226,4110.139829505732,4043.1140394030244,4516.972391719852,4453.3038652988,0.0,0.0,0.0,0.0,0.0,0.19295468886930756,0.0,4.991278229872494,135.42030783270437,209.35005657299266,236.0707673130043,4255.793795280761
,,2024-06-28,561.892799730591,899.6355534452694,5368.107252547242,4588.086633762927,1332.9731871804079,2073.4731212621195,2747.0116837155424,3257.215147020623,3727.4671129907993,4129.555716308492,4106.375571075082,4509.179574364524,4422.156642159106,0.0,0.0,0.0,0.0,0.0,0.21088563006792352,0.0,4.994160362767573,135.82293370269556,206.08571039931738,233.13462989132444,3910.147394311537
-21.933952008359523,-13.498452095521657,2024-07-03,,,,,,,,,,,,,,,,,,,,,,,,,
